ThoiGian,MucNuocA(cm),MucNuocB(cm),LuuLuong(m3/s),TrangThai,ThongBao
16:21:32 23/10/2025,30.6,94.6,37.01,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:34 23/10/2025,23.3,75.3,49.57,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:36 23/10/2025,79.7,1.9,22.23,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:38 23/10/2025,93.2,61.8,17.25,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:40 23/10/2025,14.5,32.7,41.17,"Bình thường","An toàn"
16:21:42 23/10/2025,72.8,83.0,47.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:21:44 23/10/2025,47.8,93.4,29.40,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:46 23/10/2025,88.9,91.1,12.90,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:48 23/10/2025,9.1,7.3,44.02,"Bình thường","An toàn"
16:21:50 23/10/2025,53.4,19.0,27.40,"Bình thường","An toàn"
16:21:52 23/10/2025,20.6,96.2,48.20,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:21:54 23/10/2025,2.9,38.3,37.74,"Bình thường","An toàn"
16:21:56 23/10/2025,14.2,42.3,45.02,"Bình thường","An toàn"
16:21:58 23/10/2025,15.6,28.1,12.44,"Bình thường","An toàn"
16:22:00 23/10/2025,63.5,19.5,11.14,"Bình thường","An toàn"
16:22:02 23/10/2025,0.6,62.3,12.81,"Bình thường","An toàn"
16:22:04 23/10/2025,51.8,6.8,22.17,"Bình thường","An toàn"
16:22:06 23/10/2025,72.4,81.7,31.86,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:08 23/10/2025,87.6,91.7,8.45,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:22:10 23/10/2025,69.1,65.1,46.08,"Bình thường","An toàn"
16:22:12 23/10/2025,22.7,16.1,17.62,"Bình thường","An toàn"
16:22:14 23/10/2025,35.9,43.5,32.58,"Bình thường","An toàn"
16:22:16 23/10/2025,8.6,91.4,15.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:22:18 23/10/2025,25.0,16.6,48.63,"Bình thường","An toàn"
16:22:20 23/10/2025,59.7,5.3,2.85,"Bình thường","An toàn"
16:22:22 23/10/2025,42.6,73.7,33.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:24 23/10/2025,42.7,60.3,21.73,"Bình thường","An toàn"
16:22:26 23/10/2025,84.0,55.5,32.07,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:28 23/10/2025,94.6,63.5,42.46,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:22:30 23/10/2025,6.1,61.8,15.46,"Bình thường","An toàn"
16:22:32 23/10/2025,26.5,50.0,28.28,"Bình thường","An toàn"
16:22:34 23/10/2025,20.0,10.6,11.83,"Bình thường","An toàn"
16:22:36 23/10/2025,1.9,97.5,45.55,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:22:38 23/10/2025,95.6,85.7,44.20,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:22:41 23/10/2025,71.3,20.4,34.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:43 23/10/2025,75.6,56.2,29.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:45 23/10/2025,43.5,64.6,18.20,"Bình thường","An toàn"
16:22:47 23/10/2025,66.0,2.8,1.36,"Bình thường","An toàn"
16:22:49 23/10/2025,30.8,80.7,34.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:22:51 23/10/2025,59.6,18.5,17.46,"Bình thường","An toàn"
16:22:53 23/10/2025,68.1,40.7,49.37,"Bình thường","An toàn"
16:22:55 23/10/2025,31.5,46.9,36.05,"Bình thường","An toàn"
16:22:57 23/10/2025,8.4,39.8,27.78,"Bình thường","An toàn"
16:22:59 23/10/2025,18.3,5.0,36.76,"Bình thường","An toàn"
16:23:01 23/10/2025,30.3,89.8,31.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:03 23/10/2025,62.4,41.2,7.15,"Bình thường","An toàn"
16:23:05 23/10/2025,83.7,22.3,22.45,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:07 23/10/2025,82.1,87.7,4.40,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:09 23/10/2025,73.9,12.1,23.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:11 23/10/2025,77.4,43.5,30.32,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:13 23/10/2025,98.8,33.7,19.00,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:23:15 23/10/2025,45.7,36.9,45.47,"Bình thường","An toàn"
16:23:17 23/10/2025,20.2,25.3,47.50,"Bình thường","An toàn"
16:23:19 23/10/2025,47.9,80.2,9.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:21 23/10/2025,12.9,49.8,24.86,"Bình thường","An toàn"
16:23:23 23/10/2025,54.1,82.0,39.62,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:25 23/10/2025,24.4,8.0,41.48,"Bình thường","An toàn"
16:23:27 23/10/2025,67.9,68.5,49.60,"Bình thường","An toàn"
16:23:29 23/10/2025,50.2,93.6,26.85,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:23:31 23/10/2025,40.4,35.2,13.98,"Bình thường","An toàn"
16:23:33 23/10/2025,82.2,4.2,22.58,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:35 23/10/2025,11.3,52.2,23.61,"Bình thường","An toàn"
16:23:37 23/10/2025,26.1,12.3,0.08,"Bình thường","An toàn"
16:23:39 23/10/2025,57.0,89.9,9.08,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:23:41 23/10/2025,14.6,99.7,11.02,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:23:43 23/10/2025,63.0,56.6,1.50,"Bình thường","An toàn"
16:23:45 23/10/2025,63.3,31.7,36.94,"Bình thường","An toàn"
16:23:47 23/10/2025,1.1,25.8,27.09,"Bình thường","An toàn"
16:23:49 23/10/2025,31.6,90.7,37.76,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:23:51 23/10/2025,43.3,49.5,19.02,"Bình thường","An toàn"
16:23:53 23/10/2025,38.9,54.3,27.45,"Bình thường","An toàn"
16:23:55 23/10/2025,69.3,95.8,40.72,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:23:57 23/10/2025,22.2,65.5,24.33,"Bình thường","An toàn"
16:23:59 23/10/2025,27.6,59.0,6.81,"Bình thường","An toàn"
16:24:01 23/10/2025,88.3,30.7,27.05,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:03 23/10/2025,18.8,28.8,46.25,"Bình thường","An toàn"
16:24:05 23/10/2025,89.1,59.9,17.56,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:07 23/10/2025,98.3,31.1,44.84,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:09 23/10/2025,40.2,3.7,26.78,"Bình thường","An toàn"
16:24:11 23/10/2025,41.9,0.5,30.89,"Bình thường","An toàn"
16:24:13 23/10/2025,99.7,33.1,31.48,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:15 23/10/2025,32.1,91.3,37.65,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:17 23/10/2025,52.5,43.8,33.46,"Bình thường","An toàn"
16:24:19 23/10/2025,12.8,91.8,32.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:21 23/10/2025,65.9,53.1,10.34,"Bình thường","An toàn"
16:24:23 23/10/2025,93.9,99.3,17.66,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:25 23/10/2025,88.8,94.2,18.15,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:27 23/10/2025,13.1,38.7,13.49,"Bình thường","An toàn"
16:24:29 23/10/2025,57.4,78.9,6.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:31 23/10/2025,5.2,46.7,27.67,"Bình thường","An toàn"
16:24:33 23/10/2025,77.3,39.6,24.67,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:35 23/10/2025,94.9,69.8,0.18,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:24:37 23/10/2025,54.6,88.1,4.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:39 23/10/2025,11.4,70.5,32.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:41 23/10/2025,9.7,17.2,15.07,"Bình thường","An toàn"
16:24:43 23/10/2025,7.3,67.5,49.12,"Bình thường","An toàn"
16:24:45 23/10/2025,7.4,38.1,7.97,"Bình thường","An toàn"
16:24:47 23/10/2025,80.0,29.2,37.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:24:49 23/10/2025,14.4,43.5,40.81,"Bình thường","An toàn"
16:24:51 23/10/2025,15.3,56.2,32.54,"Bình thường","An toàn"
16:24:53 23/10/2025,23.8,64.9,44.57,"Bình thường","An toàn"
16:24:55 23/10/2025,29.1,28.0,24.74,"Bình thường","An toàn"
16:24:57 23/10/2025,60.8,10.8,2.90,"Bình thường","An toàn"
16:24:59 23/10/2025,71.3,59.5,38.46,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:01 23/10/2025,70.7,77.5,15.32,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:04 23/10/2025,41.6,1.2,8.41,"Bình thường","An toàn"
16:25:06 23/10/2025,11.2,4.1,35.79,"Bình thường","An toàn"
16:25:08 23/10/2025,65.7,96.7,14.05,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:25:10 23/10/2025,72.3,46.7,49.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:12 23/10/2025,55.7,84.7,1.08,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:14 23/10/2025,94.9,48.9,36.43,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:25:16 23/10/2025,32.7,76.1,36.51,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:18 23/10/2025,60.0,46.1,21.04,"Bình thường","An toàn"
16:25:20 23/10/2025,73.3,48.0,36.10,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:22 23/10/2025,50.4,92.7,14.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:25:24 23/10/2025,47.5,40.3,0.39,"Bình thường","An toàn"
16:25:26 23/10/2025,18.6,28.8,34.36,"Bình thường","An toàn"
16:25:28 23/10/2025,25.2,77.1,12.16,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:30 23/10/2025,36.1,76.7,14.62,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:32 23/10/2025,62.2,60.3,19.29,"Bình thường","An toàn"
16:25:34 23/10/2025,92.8,81.3,6.39,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:25:36 23/10/2025,7.0,67.9,16.87,"Bình thường","An toàn"
16:25:38 23/10/2025,55.9,65.4,45.32,"Bình thường","An toàn"
16:25:40 23/10/2025,59.8,48.3,13.38,"Bình thường","An toàn"
16:25:42 23/10/2025,75.8,87.3,23.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:44 23/10/2025,12.2,99.6,1.58,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:25:46 23/10/2025,39.9,20.5,48.12,"Bình thường","An toàn"
16:25:48 23/10/2025,62.7,53.5,37.26,"Bình thường","An toàn"
16:25:50 23/10/2025,22.1,2.7,17.73,"Bình thường","An toàn"
16:25:52 23/10/2025,68.1,68.0,38.09,"Bình thường","An toàn"
16:25:54 23/10/2025,32.7,68.8,38.27,"Bình thường","An toàn"
16:25:56 23/10/2025,87.7,77.0,5.19,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:25:58 23/10/2025,9.4,60.4,2.47,"Bình thường","An toàn"
16:26:00 23/10/2025,13.7,36.4,18.21,"Bình thường","An toàn"
16:26:02 23/10/2025,25.9,20.2,39.19,"Bình thường","An toàn"
16:26:04 23/10/2025,72.1,13.6,13.00,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:06 23/10/2025,10.6,7.2,20.24,"Bình thường","An toàn"
16:26:08 23/10/2025,98.9,50.4,18.43,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:26:10 23/10/2025,26.2,3.9,13.73,"Bình thường","An toàn"
16:26:12 23/10/2025,86.3,6.4,35.61,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:14 23/10/2025,8.2,47.3,19.72,"Bình thường","An toàn"
16:26:16 23/10/2025,13.1,61.2,6.77,"Bình thường","An toàn"
16:26:18 23/10/2025,57.5,46.8,13.88,"Bình thường","An toàn"
16:26:20 23/10/2025,53.1,17.9,28.18,"Bình thường","An toàn"
16:26:22 23/10/2025,47.8,64.9,36.03,"Bình thường","An toàn"
16:26:24 23/10/2025,94.4,75.5,18.12,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:26:26 23/10/2025,89.3,8.1,3.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:28 23/10/2025,94.8,84.0,32.77,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:26:30 23/10/2025,22.7,26.6,49.86,"Bình thường","An toàn"
16:26:32 23/10/2025,40.8,49.6,25.88,"Bình thường","An toàn"
16:26:34 23/10/2025,12.8,54.1,41.81,"Bình thường","An toàn"
16:26:36 23/10/2025,54.7,88.3,15.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:38 23/10/2025,77.6,32.6,2.86,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:40 23/10/2025,8.5,85.7,40.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:42 23/10/2025,39.5,50.4,17.78,"Bình thường","An toàn"
16:26:44 23/10/2025,75.9,48.2,21.86,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:46 23/10/2025,57.4,72.3,40.11,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:48 23/10/2025,69.0,69.5,10.99,"Bình thường","An toàn"
16:26:50 23/10/2025,79.3,43.4,21.84,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:52 23/10/2025,71.8,91.9,42.92,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:26:54 23/10/2025,75.8,8.3,37.62,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:26:56 23/10/2025,38.6,23.2,27.25,"Bình thường","An toàn"
16:26:58 23/10/2025,10.7,69.2,44.18,"Bình thường","An toàn"
16:27:00 23/10/2025,55.9,82.3,9.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:02 23/10/2025,39.8,30.4,48.39,"Bình thường","An toàn"
16:27:04 23/10/2025,9.4,98.9,46.40,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:27:06 23/10/2025,27.5,9.5,38.43,"Bình thường","An toàn"
16:27:08 23/10/2025,61.7,59.7,5.40,"Bình thường","An toàn"
16:27:10 23/10/2025,34.9,50.9,42.20,"Bình thường","An toàn"
16:27:12 23/10/2025,24.2,4.7,5.34,"Bình thường","An toàn"
16:27:14 23/10/2025,13.9,26.1,19.32,"Bình thường","An toàn"
16:27:16 23/10/2025,29.0,88.6,29.94,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:18 23/10/2025,19.7,97.9,36.69,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:27:20 23/10/2025,22.5,0.3,32.31,"Bình thường","An toàn"
16:27:22 23/10/2025,72.2,4.5,45.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:24 23/10/2025,57.8,29.3,22.12,"Bình thường","An toàn"
16:27:26 23/10/2025,98.8,85.3,37.70,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:27:28 23/10/2025,50.2,40.7,7.69,"Bình thường","An toàn"
16:27:30 23/10/2025,27.8,36.5,43.14,"Bình thường","An toàn"
16:27:32 23/10/2025,2.9,42.0,17.46,"Bình thường","An toàn"
16:27:34 23/10/2025,60.6,82.1,3.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:36 23/10/2025,31.4,24.3,29.43,"Bình thường","An toàn"
16:27:38 23/10/2025,82.3,42.0,42.11,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:40 23/10/2025,15.1,62.8,12.86,"Bình thường","An toàn"
16:27:42 23/10/2025,57.1,69.0,11.45,"Bình thường","An toàn"
16:27:44 23/10/2025,90.9,55.5,27.02,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:27:46 23/10/2025,22.8,25.3,7.85,"Bình thường","An toàn"
16:27:48 23/10/2025,35.4,50.5,35.16,"Bình thường","An toàn"
16:27:50 23/10/2025,88.4,53.2,17.34,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:27:52 23/10/2025,73.6,94.6,34.87,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:27:54 23/10/2025,67.6,56.9,1.31,"Bình thường","An toàn"
16:27:56 23/10/2025,9.7,59.3,45.78,"Bình thường","An toàn"
16:27:58 23/10/2025,7.4,59.8,27.67,"Bình thường","An toàn"
16:28:00 23/10/2025,80.7,91.0,30.93,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:28:02 23/10/2025,48.8,54.9,44.06,"Bình thường","An toàn"
16:28:04 23/10/2025,67.1,89.3,17.53,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:06 23/10/2025,13.7,7.1,22.82,"Bình thường","An toàn"
16:28:08 23/10/2025,39.5,78.9,29.35,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:10 23/10/2025,11.3,23.9,43.37,"Bình thường","An toàn"
16:28:12 23/10/2025,31.8,11.3,48.77,"Bình thường","An toàn"
16:28:14 23/10/2025,79.4,45.9,48.44,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:16 23/10/2025,97.9,46.1,37.74,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:28:18 23/10/2025,85.6,16.1,15.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:20 23/10/2025,28.7,69.1,38.89,"Bình thường","An toàn"
16:28:22 23/10/2025,1.5,67.6,39.49,"Bình thường","An toàn"
16:28:24 23/10/2025,99.2,63.0,39.89,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:28:26 23/10/2025,0.5,47.6,10.15,"Bình thường","An toàn"
16:28:28 23/10/2025,12.8,20.2,34.76,"Bình thường","An toàn"
16:28:30 23/10/2025,40.6,97.9,42.84,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:28:32 23/10/2025,67.7,89.9,40.12,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:34 23/10/2025,22.1,67.8,31.41,"Bình thường","An toàn"
16:28:36 23/10/2025,48.0,97.8,6.12,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:28:38 23/10/2025,4.1,56.7,30.99,"Bình thường","An toàn"
16:28:41 23/10/2025,8.3,14.3,4.75,"Bình thường","An toàn"
16:28:43 23/10/2025,64.0,49.5,18.08,"Bình thường","An toàn"
16:28:45 23/10/2025,29.2,37.2,33.02,"Bình thường","An toàn"
16:28:47 23/10/2025,77.8,28.0,4.29,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:49 23/10/2025,2.3,36.6,27.47,"Bình thường","An toàn"
16:28:51 23/10/2025,6.3,5.4,12.83,"Bình thường","An toàn"
16:28:53 23/10/2025,39.6,88.5,45.72,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:55 23/10/2025,67.3,50.0,36.92,"Bình thường","An toàn"
16:28:57 23/10/2025,69.4,84.2,10.03,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:28:59 23/10/2025,34.4,40.7,18.88,"Bình thường","An toàn"
16:29:01 23/10/2025,79.6,14.0,28.36,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:03 23/10/2025,16.4,63.3,26.58,"Bình thường","An toàn"
16:29:05 23/10/2025,7.3,64.4,29.05,"Bình thường","An toàn"
16:29:07 23/10/2025,54.1,19.9,41.14,"Bình thường","An toàn"
16:29:09 23/10/2025,92.7,46.7,25.62,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:29:11 23/10/2025,98.7,54.6,5.18,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:29:13 23/10/2025,46.9,21.4,26.64,"Bình thường","An toàn"
16:29:15 23/10/2025,18.7,30.0,39.57,"Bình thường","An toàn"
16:29:17 23/10/2025,60.5,59.7,19.88,"Bình thường","An toàn"
16:29:19 23/10/2025,19.5,77.6,5.65,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:21 23/10/2025,34.2,89.6,41.91,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:23 23/10/2025,28.4,89.5,18.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:25 23/10/2025,21.0,69.3,15.21,"Bình thường","An toàn"
16:29:27 23/10/2025,10.7,85.2,31.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:29 23/10/2025,55.2,95.2,48.81,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:29:31 23/10/2025,30.1,89.1,33.74,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:33 23/10/2025,54.3,63.3,13.23,"Bình thường","An toàn"
16:29:35 23/10/2025,7.0,16.7,48.01,"Bình thường","An toàn"
16:29:37 23/10/2025,76.0,24.3,26.82,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:39 23/10/2025,18.2,38.0,24.04,"Bình thường","An toàn"
16:29:41 23/10/2025,94.1,97.8,48.22,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:29:43 23/10/2025,40.8,31.5,49.90,"Bình thường","An toàn"
16:29:45 23/10/2025,73.0,87.6,46.68,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:47 23/10/2025,44.5,79.0,25.43,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:49 23/10/2025,6.7,53.3,45.14,"Bình thường","An toàn"
16:29:51 23/10/2025,71.4,35.1,27.92,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:53 23/10/2025,97.1,83.6,46.60,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:29:55 23/10/2025,89.3,5.6,38.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:57 23/10/2025,82.1,38.4,22.02,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:29:59 23/10/2025,32.0,40.6,44.35,"Bình thường","An toàn"
16:30:01 23/10/2025,75.3,91.5,2.35,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:03 23/10/2025,38.8,15.2,14.86,"Bình thường","An toàn"
16:30:05 23/10/2025,42.2,90.4,40.75,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:07 23/10/2025,89.7,84.0,42.90,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:09 23/10/2025,68.8,73.9,19.38,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:11 23/10/2025,63.2,73.5,14.81,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:13 23/10/2025,25.6,41.4,21.68,"Bình thường","An toàn"
16:30:15 23/10/2025,6.7,91.1,36.31,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:17 23/10/2025,72.3,16.4,39.59,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:19 23/10/2025,7.6,13.8,16.19,"Bình thường","An toàn"
16:30:21 23/10/2025,99.3,11.2,27.56,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:23 23/10/2025,84.1,15.4,11.34,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:25 23/10/2025,17.4,75.1,46.41,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:27 23/10/2025,6.2,79.6,41.83,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:29 23/10/2025,10.8,77.1,4.98,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:31 23/10/2025,28.3,47.6,6.72,"Bình thường","An toàn"
16:30:33 23/10/2025,85.3,61.2,37.76,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:35 23/10/2025,6.3,53.0,30.53,"Bình thường","An toàn"
16:30:37 23/10/2025,0.7,17.8,11.28,"Bình thường","An toàn"
16:30:39 23/10/2025,90.4,13.0,10.13,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:41 23/10/2025,39.4,25.2,34.96,"Bình thường","An toàn"
16:30:43 23/10/2025,33.2,83.7,37.15,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:45 23/10/2025,97.8,8.3,40.24,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:47 23/10/2025,17.6,23.2,24.01,"Bình thường","An toàn"
16:30:49 23/10/2025,31.0,98.6,20.27,"Nguy hiểm!","Mực nước vượt ngưỡng an toàn ⚠️"
16:30:51 23/10/2025,20.4,53.6,32.79,"Bình thường","An toàn"
16:30:53 23/10/2025,84.8,2.7,32.09,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
16:30:55 23/10/2025,85.6,24.1,28.27,"Cảnh báo!","Mực nước cao, nguy cơ ngập!"
